price,price_m2,area_m2,address,url
,,Plotas,,
69 900 €,4 374                                    €/m²,16,Naujamiestis T. Ševčenkos g.,https://www.aruodas.lt/patalpa-viesbucio-vilniuje-naujamiestyje-t-sevcenkos-g-projekte-liko-tik-apartamentu-is-1-3525594/?search_pos=30
314 000 €,5 607                                    €/m²,56,Viršuliškės Viršilų g.,https://www.aruodas.lt/butai-vilniuje-virsuliskese-virsilu-g--naujos-statybos-butas-su-isskirtiniu-1-3572997/?search_pos=31
589 000 €,7 997                                    €/m²,73.7,Naujamiestis J. Basanavičiaus g.,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-j-basanaviciaus-g-basanaviciaus-unikalus-istorine-verte-1-3601378/?search_pos=32
162 500 €,3 244                                    €/m²,50.1,Pilaitė Vydūno g.,https://www.aruodas.lt/butai-vilniuje-pilaiteje-vyduno-g-parduodamas-jaukus-kambariu-butas-pilaiteje-1-3592245/?search_pos=33
222 100 €,3 620                                    €/m²,61.4,Justiniškės Mozūriškių g.,https://www.aruodas.lt/butai-vilniuje-justiniskese-mozuriskiu-g-unikalioje-vilniaus-vietoje-ant-tvenkinio-1-3494947/?search_pos=34
595 000 €,7 455                                    €/m²,79.8,Naujamiestis Aguonų g.,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-aguonu-g-senamiescio-riboje-aguonu-gatveje-1-3557074/?search_pos=35
110 000 €,2 444                                    €/m²,45,Pašilaičiai Girulių g.,https://www.aruodas.lt/butai-vilniuje-pasilaiciuose-giruliu-g-parduodamas-sviesus-ir-jaukus-kambariu-1-3579967/?search_pos=36
449 000 €,5 781                                    €/m²,77.7,Vilkpėdė Eigulių g.,https://www.aruodas.lt/butai-vilniuje-vilkpedeje-eiguliu-g-erdvus-butas-su-nuosava-terasa-pirmoje-eileje-1-3582089/?search_pos=37
297 000 €,5 877                                    €/m²,50.5,Žvėrynas Paribio g.,https://www.aruodas.lt/butai-vilniuje-zveryne-paribio-g-parduodamas-irengtas-kambariu-kvm-1-3598826/?search_pos=38
159 000 €,3 313                                    €/m²,48,Žirmūnai Žirmūnų g.,https://www.aruodas.lt/butai-vilniuje-zirmunuose-zirmunu-g-naujas-butas-jums-ramybes-apsuptyje-1-3607352/?search_pos=39
180 000 €,4 390                                    €/m²,41,Šeškinė Sudervės kel.,https://www.aruodas.lt/butai-vilniuje-seskineje-suderves-kel-parduodamas-stilingai-ir-kokybiskai-irengtas-1-3602942/?search_pos=40
183 000 €,4 463                                    €/m²,41,Šeškinė Sudervės kel.,https://www.aruodas.lt/butai-vilniuje-seskineje-suderves-kel-parduodamas-stilingai-ir-kokybiskai-irengtas-1-3602946/?search_pos=41
343 934 €,5 550                                    €/m²,62,Žvėrynas Lūšių g.,https://www.aruodas.lt/butai-vilniuje-zveryne-lusiu-g-lusiu-salos-butu-projektas-zveryne-1-3596440/?search_pos=42
230 000 €,3 643                                    €/m²,63.1,Šnipiškės Kernavės g.,https://www.aruodas.lt/butai-vilniuje-snipiskese-kernaves-g-stilingai-ir-jaukiai-irengtas-butas-1-3586637/?search_pos=43
169 000 €,2 600                                    €/m²,65,Antakalnis Gvazdikų g.,https://www.aruodas.lt/butai-vilniuje-antakalnyje-gvazdiku-g-parduodamas-unikalus-a-en-klases-deginto-1-3604550/?search_pos=44
120 000 €,3 420                                    €/m²,35.1,Žvėrynas Treniotos g.,https://www.aruodas.lt/butai-vilniuje-zveryne-treniotos-g-parduodamas-jaukiai-irengtas-studio-tipo-1-3594431/?search_pos=45
199 000 €,3 815                                    €/m²,52.2,Lazdynėliai Lazdynėlių g.,https://www.aruodas.lt/butai-vilniuje-lazdyneliuose-lazdyneliu-g-isskirtinio-interjero-butas-bene-ramiausiame-1-3600432/?search_pos=46
483 000 €,4 644                                    €/m²,104,Senamiestis Vasario 16-osios g.,https://www.aruodas.lt/butai-vilniuje-senamiestyje-vasario-16-osios-g-atviru-duru-diena-kvieciu-visus-1-3601726/?search_pos=47
277 888 €,5 200                                    €/m²,53.4,Užupis Filaretų g.,https://www.aruodas.lt/butai-vilniuje-uzupyje-filaretu-g-prestizinis-gyvenamuju-namu-projektas-uzupio-1-3596816/?search_pos=48
269 000 €,4 870                                    €/m²,55.2,Šeškinė Siesikų g.,https://www.aruodas.lt/butai-vilniuje-seskineje-siesiku-g-modernaus-interjero-butas-su-nuosavu-kiemeliu-1-3605878/?search_pos=49
769 000 €,4 550                                    €/m²,169,Senamiestis Šv. Mykolo g.,https://www.aruodas.lt/butai-vilniuje-senamiestyje-sv-mykolo-g-namas-kuriame-irengtas-butas-statytas-1-3604040/?search_pos=50
,,Plotas,,
687 000 €,5 349                                    €/m²,128.4,Žirmūnai Olimpiečių g.,https://www.aruodas.lt/butai-vilniuje-zirmunuose-olimpieciu-g-parduodamas-kambariu-butas-paciame-vilniaus-1-3561699/?search_pos=51
279 000 €,5 884                                    €/m²,47.4,Antakalnis M. K. Paco g.,https://www.aruodas.lt/butai-vilniuje-antakalnyje-m-k-paco-g-modernus-kambariu-butas-su-terasa-1-3593473/?search_pos=52
227 500 €,3 495                                    €/m²,65.1,Pašilaičiai Gabijos g.,https://www.aruodas.lt/butai-vilniuje-pasilaiciuose-gabijos-g-parduodamas-isskirtinis-kambariu-butas-su-1-3561077/?search_pos=53
299 000 €,5 246                                    €/m²,57,Naujamiestis Algirdo g.,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-algirdo-g-isskirtinis-pasiulymas-miesto-sirdyje-1-3603012/?search_pos=54
81 000 €,2 956                                    €/m²,27.4,Naujininkai Šaltkalvių g.,https://www.aruodas.lt/butai-vilniuje-naujininkuose-saltkalviu-g-parduodamas-kapitaliai-suremontuotas-1-3607852/?search_pos=55
99 000 €,3 764                                    €/m²,26.3,Markučiai Ramunių g.,https://www.aruodas.lt/butai-vilniuje-markuciuose-ramuniu-g--markuciai-naujai-besipletojantis-1-3607648/?search_pos=56
329 000 €,5 961                                    €/m²,55.2,Senamiestis Totorių g.,https://www.aruodas.lt/butai-vilniuje-senamiestyje-totoriu-g-isskirtinis-dizainerio-kurtas-butas-vilniaus-1-3596918/?search_pos=57
133 000 €,1 983                                    €/m²,67.1,Šeškinė Musninkų g.,https://www.aruodas.lt/butai-vilniuje-seskineje-musninku-g--parduodamas-tvarkingas-kambariu-butas-1-3600350/?search_pos=58
249 000 €,5 900                                    €/m²,42.2,Markučiai Kaukysos g.,https://www.aruodas.lt/butai-vilniuje-markuciuose-kaukysos-g-jaukus-siuolaikiskas-ir-nepriekaistingai-1-3596936/?search_pos=59
135 000 €,2 708                                    €/m²,49.9,Naujoji Vilnia Jūrotiškių g.,https://www.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-jurotiskiu-g-parduodamas-modernus-kambariu-loftas-1-3604768/?search_pos=60
174 000 €,2 767                                    €/m²,62.9,Pašilaičiai Perkūnkiemio g.,https://www.aruodas.lt/butai-vilniuje-pasilaiciuose-perkunkiemio-g-parduodamas-erdvus-ir-sviesus-kambariu-1-3607630/?search_pos=61
